         314666 function calls (311581 primitive calls) in 3.325 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
         314666 function calls (311581 primitive calls) in 3.326 seconds

   114240    1.338    0.000    1.338    0.000 {method 'dot' of 'petsc4py.PETSc.Vec' objects}
   114240    1.257    0.000    1.257    0.000 {method 'axpy' of 'petsc4py.PETSc.Vec' objects}
        2    0.464    0.232    0.464    0.232 {petsc4py.PETSc._initialize}
        1    0.066    0.066    3.326    3.326 Prod_test.py:1(<module>)
     4015    0.062    0.000    0.062    0.000 {built-in method builtins.getattr}
      123    0.041    0.000    0.041    0.000 {built-in method marshal.loads}
       20    0.016    0.001    0.018    0.001 {built-in method _imp.create_dynamic}
      316    0.013    0.000    0.013    0.000 {built-in method builtins.compile}
    20/15    0.004    0.000    0.010    0.001 {built-in method _imp.exec_dynamic}
  241/240    0.003    0.000    0.005    0.000 {built-in method builtins.__build_class__}
      700    0.002    0.000    0.002    0.000 {built-in method posix.stat}
      362    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   114240    1.380    0.000    1.380    0.000 {method 'dot' of 'petsc4py.PETSc.Vec' objects}
   114240    1.224    0.000    1.224    0.000 {method 'axpy' of 'petsc4py.PETSc.Vec' objects}
        2    0.460    0.230    0.460    0.230 {petsc4py.PETSc._initialize}
        1    0.057    0.057    3.327    3.327 Prod_test.py:1(<module>)
      316    0.048    0.000    0.048    0.000 {built-in method builtins.compile}
      123    0.024    0.000    0.024    0.000 {built-in method marshal.loads}
       20    0.017    0.001    0.019    0.001 {built-in method _imp.create_dynamic}
      284    0.011    0.000    0.014    0.000 function_base.py:475(add_newdoc)
5080/4857    0.011    0.000    0.011    0.000 {built-in method builtins.len}
   107/38    0.008    0.000    0.011    0.000 sre_parse.py:475(_parse)
    20/15    0.004    0.000    0.013    0.001 {built-in method _imp.exec_dynamic}
  241/240    0.004    0.000    0.005    0.000 {built-in method builtins.__build_class__}
      362    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      700    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      612    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
      123    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
         314666 function calls (311581 primitive calls) in 3.327 seconds

   107/38    0.001    0.000    0.004    0.000 sre_parse.py:475(_parse)
      123    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
      612    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
    457/1    0.001    0.000    3.326    3.326 {built-in method builtins.exec}
      123    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     1873    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     4015    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      123    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:914(get_data)
    457/1    0.001    0.000    3.327    3.327 {built-in method builtins.exec}
     1873    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      667    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x8228a0}
     2561    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      331    0.001    0.000    0.002    0.000 functools.py:37(update_wrapper)
      286    0.001    0.000    0.006    0.000 overrides.py:89(verify_matching_signatures)
     1873    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      123    0.001    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:793(get_code)
   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   114240    1.305    0.000    1.305    0.000 {method 'dot' of 'petsc4py.PETSc.Vec' objects}
   114240    1.294    0.000    1.294    0.000 {method 'axpy' of 'petsc4py.PETSc.Vec' objects}
        2    0.464    0.232    0.464    0.232 {petsc4py.PETSc._initialize}
        1    0.061    0.061    3.328    3.328 Prod_test.py:1(<module>)
      316    0.043    0.000    0.043    0.000 {built-in method builtins.compile}
         314666 function calls (311581 primitive calls) in 3.326 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   114240    1.308    0.000    1.308    0.000 {method 'dot' of 'petsc4py.PETSc.Vec' objects}
   114240    1.287    0.000    1.287    0.000 {method 'axpy' of 'petsc4py.PETSc.Vec' objects}
      667    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x8228a0}
      123    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      331    0.001    0.000    0.062    0.000 functools.py:37(update_wrapper)
     1873    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      286    0.001    0.000    0.004    0.000 overrides.py:89(verify_matching_signatures)
     2561    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      316    0.001    0.000    0.082    0.000 overrides.py:183(decorator)
      161    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      470    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
   205/36    0.001    0.000    0.002    0.000 sre_compile.py:71(_compile)
        2    0.464    0.232    0.464    0.232 {petsc4py.PETSc._initialize}
        1    0.065    0.065    3.326    3.326 Prod_test.py:1(<module>)
      316    0.035    0.000    0.035    0.000 {built-in method builtins.compile}
        1    0.029    0.029    0.029    0.029 pickle.py:1021(_Unpickler)
      161    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      316    0.001    0.000    0.060    0.000 overrides.py:183(decorator)
   205/36    0.001    0.000    0.003    0.000 sre_compile.py:71(_compile)
     7239    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       20    0.015    0.001    0.017    0.001 {built-in method _imp.create_dynamic}
      123    0.013    0.000    0.013    0.000 {built-in method marshal.loads}
      123    0.013    0.000    0.013    0.000 {built-in method _imp._fix_co_filename}
      123    0.012    0.000    0.012    0.000 {method 'read' of '_io.FileIO' objects}
      123    0.026    0.000    0.026    0.000 {built-in method marshal.loads}
        1    0.023    0.023    0.025    0.025 numerictypes.py:81(<module>)
      470    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      470    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
       71    0.011    0.000    0.011    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
   107/38    0.010    0.000    0.013    0.000 sre_parse.py:475(_parse)
    20/15    0.004    0.000    0.012    0.001 {built-in method _imp.exec_dynamic}
      148    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      648    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      246    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
       20    0.016    0.001    0.017    0.001 {built-in method _imp.create_dynamic}
    20/15    0.004    0.000    0.009    0.001 {built-in method _imp.exec_dynamic}
  241/240    0.003    0.000    0.033    0.000 {built-in method builtins.__build_class__}
      470    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      148    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
  241/240    0.004    0.000    0.006    0.000 {built-in method builtins.__build_class__}
      700    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      362    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
    164/6    0.001    0.000    0.665    0.111 <frozen importlib._bootstrap>:978(_find_and_load)
   776/33    0.001    0.000    0.660    0.020 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
      616    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
      470    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      246    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
    164/6    0.001    0.000    0.665    0.111 <frozen importlib._bootstrap>:978(_find_and_load)
      700    0.002    0.000    0.002    0.000 {built-in method posix.stat}
      362    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
   107/38    0.002    0.000    0.005    0.000 sre_parse.py:475(_parse)
      612    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
    457/1    0.002    0.000    3.328    3.328 {built-in method builtins.exec}
      612    0.001    0.000    0.002    0.000 _inspect.py:65(getargs)
    457/1    0.001    0.000    3.326    3.326 {built-in method builtins.exec}
     7239    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      648    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
       17    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
    156/6    0.001    0.000    0.664    0.111 <frozen importlib._bootstrap>:663(_load_unlocked)
      156    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       17    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
       87    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
        1    0.002    0.002    0.002    0.002 {built-in method _posixsubprocess.fork_exec}
      667    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x8228a0}
      123    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     4015    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1989    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       87    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
     2401    0.001    0.000    0.003    0.000 {method 'join' of 'str' objects}
      123    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
      123    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     1873    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      667    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x8228a0}
       49    0.001    0.000    0.001    0.000 _string_helpers.py:16(english_lower)
    156/6    0.001    0.000    0.664    0.111 <frozen importlib._bootstrap>:663(_load_unlocked)
      286    0.001    0.000    0.006    0.000 overrides.py:89(verify_matching_signatures)
     2561    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       13    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
   205/36    0.001    0.000    0.003    0.000 sre_compile.py:71(_compile)
      331    0.001    0.000    0.002    0.000 functools.py:37(update_wrapper)
     1518    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
   776/33    0.001    0.000    0.660    0.020 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     4015    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      123    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     1873    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     7239    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
    164/6    0.001    0.000    0.665    0.111 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      616    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
      156    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     7239    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
     1873    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
     1873    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
       13    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      316    0.001    0.000    0.054    0.000 overrides.py:183(decorator)
      161    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      470    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      470    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      331    0.001    0.000    0.002    0.000 functools.py:37(update_wrapper)
       17    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
      470    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
    123/5    0.000    0.000    0.663    0.133 <frozen importlib._bootstrap_external>:722(exec_module)
